Drug,Demand_Forecast,Optimal_Stock_Level,Restocking_Strategy
Metformin,7750,4753,Monthly
Lisinopril,5136,9965,Quarterly
Metformin,3183,2933,Monthly
Insulin,2332,3927,Monthly
Atorvastatin,3522,6812,Monthly
Metformin,3617,2978,Monthly
Insulin,7273,7951,Monthly
Insulin,9653,2208,Monthly
Metformin,2488,3968,Monthly
Atorvastatin,2045,2408,Quarterly
Lisinopril,6764,5870,Quarterly
Insulin,8727,2468,Monthly
Lisinopril,6693,9411,Quarterly
Atorvastatin,8757,2658,Weekly
Metformin,3472,6425,Monthly
Atorvastatin,6501,2975,Monthly
Lisinopril,6636,8003,Monthly
Atorvastatin,7028,10117,Quarterly
Lisinopril,8389,10528,Weekly
Lisinopril,6006,7040,Monthly
Metformin,3435,1924,Monthly
Insulin,7583,9361,Monthly
Insulin,9800,10001,Monthly
Metformin,6674,3183,Monthly
Insulin,5498,3433,Weekly
Metformin,1668,3510,Monthly
Atorvastatin,1455,2980,Quarterly
Atorvastatin,6594,9531,Weekly
Metformin,8932,4155,Quarterly
Atorvastatin,8312,2074,Quarterly
Metformin,2850,5074,Monthly
Lisinopril,1995,6628,Monthly
Metformin,8592,10721,Quarterly
Insulin,3211,8462,Monthly
Lisinopril,1880,5599,Quarterly
Insulin,2530,6216,Monthly
Lisinopril,7933,9699,Weekly
Atorvastatin,7036,9515,Quarterly
Insulin,2486,3177,Weekly
Metformin,8189,2100,Monthly
Atorvastatin,7952,9048,Monthly
Metformin,5557,6753,Weekly
Insulin,3176,2067,Weekly
Atorvastatin,3623,7186,Quarterly
Metformin,3607,7621,Weekly
Metformin,6962,1719,Weekly
Atorvastatin,5466,2835,Quarterly
Lisinopril,1788,2425,Monthly
Metformin,6726,2078,Monthly
Insulin,8691,8199,Monthly
Lisinopril,5013,6830,Weekly
Metformin,9772,5792,Quarterly
Metformin,1541,7749,Monthly
Lisinopril,1669,6995,Quarterly
Lisinopril,6963,9568,Quarterly
Lisinopril,3137,9116,Quarterly
Atorvastatin,9646,2656,Weekly
Lisinopril,2943,7094,Monthly
Atorvastatin,2620,4168,Quarterly
Atorvastatin,8264,5778,Quarterly
Lisinopril,5884,7676,Monthly
Atorvastatin,5647,6544,Weekly
Lisinopril,2912,9974,Weekly
Lisinopril,3333,8633,Monthly
Metformin,9487,6800,Weekly
Metformin,7448,10205,Weekly
Metformin,5668,5313,Weekly
Atorvastatin,5830,3199,Quarterly
Lisinopril,2264,7663,Monthly
Lisinopril,3086,6640,Monthly
Atorvastatin,9077,6707,Quarterly
Insulin,1348,9661,Quarterly
Metformin,8564,5505,Quarterly
Atorvastatin,5657,6794,Quarterly
Atorvastatin,2471,3850,Weekly
Lisinopril,1597,3380,Quarterly
Atorvastatin,8823,10149,Monthly
Metformin,7154,3743,Weekly
Atorvastatin,4321,9141,Weekly
Insulin,5914,2160,Quarterly
Lisinopril,3236,4465,Quarterly
Lisinopril,3073,8617,Monthly
Metformin,5168,10082,Monthly
Atorvastatin,9826,9787,Monthly
Insulin,6386,5803,Quarterly
Metformin,8168,3111,Quarterly
Insulin,3342,6871,Quarterly
Insulin,2486,5416,Monthly
Atorvastatin,3078,6776,Quarterly
Atorvastatin,1764,7820,Quarterly
Metformin,2057,9562,Monthly
Lisinopril,2838,10631,Weekly
Insulin,8828,7514,Weekly
Insulin,2915,7691,Quarterly
Metformin,4225,6761,Monthly
Insulin,9831,4351,Weekly
Lisinopril,4258,4730,Monthly
Insulin,9218,6601,Weekly
Insulin,1295,9798,Quarterly
Lisinopril,2632,10210,Monthly
Atorvastatin,5116,1917,Monthly
Atorvastatin,8435,3552,Weekly
Lisinopril,6830,4994,Monthly
Lisinopril,3133,9093,Quarterly
Metformin,4282,7386,Quarterly
Atorvastatin,4560,7852,Weekly
Lisinopril,8328,7176,Monthly
Metformin,9953,4145,Quarterly
Atorvastatin,3925,9016,Weekly
Insulin,2849,3684,Monthly
Insulin,1718,8831,Monthly
Metformin,9193,4146,Weekly
Insulin,1517,6754,Monthly
Atorvastatin,8472,4954,Quarterly
Atorvastatin,5769,6149,Weekly
Atorvastatin,4347,9044,Weekly
Atorvastatin,2998,2273,Quarterly
Metformin,5997,4521,Quarterly
Lisinopril,6215,9614,Quarterly
Atorvastatin,4769,3544,Quarterly
Lisinopril,4699,2744,Weekly
Metformin,1350,7064,Quarterly
Insulin,2507,3708,Weekly
Insulin,2437,8545,Weekly
Atorvastatin,3020,10772,Quarterly
Metformin,8532,6367,Monthly
Insulin,4648,6787,Weekly
Atorvastatin,1646,3083,Monthly
Atorvastatin,7737,4368,Quarterly
Lisinopril,5981,4591,Monthly
Atorvastatin,9707,6015,Weekly
Metformin,6277,3742,Quarterly
Metformin,5039,4453,Weekly
Atorvastatin,8359,6957,Quarterly
Atorvastatin,4489,5846,Monthly
Metformin,5729,9511,Quarterly
Insulin,6916,2478,Weekly
Atorvastatin,9190,3929,Monthly
Atorvastatin,4125,2479,Weekly
Atorvastatin,9435,1684,Weekly
Metformin,4485,1984,Monthly
Lisinopril,7552,10226,Weekly
Metformin,9160,7653,Monthly
Insulin,3301,6808,Quarterly
Insulin,3549,10554,Quarterly
Atorvastatin,9330,5036,Weekly
Insulin,8639,10797,Monthly
Insulin,2967,8894,Monthly
Insulin,5670,8260,Monthly
Insulin,6547,8377,Weekly
Metformin,2926,6680,Weekly
Atorvastatin,8014,5803,Weekly
Lisinopril,2435,4310,Weekly
Atorvastatin,4491,9355,Quarterly
Atorvastatin,9332,2495,Weekly
Lisinopril,8439,4029,Monthly
Metformin,3455,4808,Weekly
Metformin,2295,10741,Monthly
Metformin,2704,4068,Monthly
Insulin,1311,8353,Weekly
Lisinopril,1931,10225,Quarterly
Metformin,2566,9751,Quarterly
Insulin,2245,8060,Monthly
Metformin,2446,8134,Monthly
Metformin,4226,9347,Weekly
Insulin,5281,1592,Monthly
Metformin,8811,9422,Monthly
Insulin,1008,3908,Monthly
Metformin,4818,10621,Weekly
Metformin,5192,5214,Weekly
Atorvastatin,4070,1785,Quarterly
Lisinopril,1737,6303,Quarterly
